column,missing_fraction,drop_for_ml_ready,drop_for_cluster_optional
LBDNFOSL_n_perfluorooctane_sulfonic_comt_code,0.7191071668683608,False,False
LBDPFDEL_perfluorodecanoic_acid_comment_code,0.7191071668683608,False,False
LBDPFHSL_perfluorohexane_sulfonic_acid_comt_code,0.7191071668683608,False,False
LBDPFNAL_perfluorononanoic_acid_comment_code,0.7191071668683608,False,False
LBDPFUAL_perfluoroundecanoic_acid_comment_code,0.7191071668683608,False,False
LBXBFOA_br_perfluorooctanoic_acid_iso_ng_ml,0.7191071668683608,False,False
LBXMFOS_sm_pfos_ng_ml,0.7191071668683608,False,False
LBXMPAH_2_n_methyl_pfosa_acetic_acid_ng_ml,0.7191071668683608,False,False
LBXNFOA_n_perfluorooctanoic_acid_ng_ml,0.7191071668683608,False,False
LBXNFOS_n_perfluorooctane_sulfonic_acid_ng_ml,0.7191071668683608,False,False
LBXPFDE_perfluorodecanoic_acid_ng_ml,0.7191071668683608,False,False
LBXPFHS_perfluorohexane_sulfonic_acid_ng_ml,0.7191071668683608,False,False
LBXPFNA_perfluorononanoic_acid_ng_ml,0.7191071668683608,False,False
LBXPFUA_perfluoroundecanoic_acid_ng_ml,0.7191071668683608,False,False
paq655___days_vigorous_recreational_activities,0.7160145219846712,False,False
LBDTFRSI_transferrin_receptor_nmol_l,0.7156111335215812,False,False
transferrin_receptor_mg_l,0.7156111335215812,False,False
bpq030___told_had_high_blood_pressure___2+_times,0.7141320424902514,False,False
bpq040a___taking_prescription_for_hypertension,0.7137286540271615,False,False
bpd035___age_told_had_hypertension,0.7135941912061315,False,False
LBDEOALC_ethylene_oxide_comment_code,0.7115772488906817,False,False
LBXEOA_ethylene_oxide_pmol_g_hb,0.7115772488906817,False,False
oral_decayed_teeth_yesno,0.708619066828022,False,False
URD2MHLC_2_methylhippuric_acid_comment_code,0.7061987360494824,False,False
URD34MLC_3_methipurc_acd_4_methipurc_acid_comt,0.7061987360494824,False,False
URDAAMLC_n_ace_s_2_carbamoylethyl_l_cys_comt,0.7061987360494824,False,False
URDAMCLC_n_ace_s_n_methlcarbamoyl_l_cys_comt,0.7061987360494824,False,False
URDATCLC_2_amnothiazolne_4_carbxylic_acid_comt,0.7061987360494824,False,False
URDBMALC_n_acetyl_s_benzyl_l_cysteine_comt,0.7061987360494824,False,False
URDBPMLC_n_acetyl_s_n_propyl_l_cysteine_comt,0.7061987360494824,False,False
URDCEMLC_n_acetyl_s_2_carbxyethyl_l_cys_comt,0.7061987360494824,False,False
URDCYALC_cyha_cysteine_comment_code,0.7061987360494824,False,False
URDCYMLC_n_acetyl_s_2_cyanoethyl_l_cyst_comt,0.7061987360494824,False,False
URDDHBLC_n_ace_s_3_4_dihidxybutl_l_cys_comt,0.7061987360494824,False,False
URDGAMLC_n_ac_s_2_carbmo_2_hydxel_l_cys_comt,0.7061987360494824,False,False
URDHEMLC_n_ace_s_2_hydroxyethyl_l_cys_comt,0.7061987360494824,False,False
URDHP2LC_n_ace_s_2_hydroxypropyl_l_cys_comt,0.7061987360494824,False,False
URDHPMLC_n_ace_s_3_hydroxypropyl_l_cys_comt,0.7061987360494824,False,False
URDMADLC_mandelic_acid_comment_code,0.7061987360494824,False,False
URDMB3LC_n_a_s_4_hydrxy_2_butenyl_l_cys_comt,0.7061987360494824,False,False
URDPHGLC_phenylglyoxylic_acid_comment_code,0.7061987360494824,False,False
URDPM3LC_ipm3_cysteine_comment_code,0.7061987360494824,False,False
URDTTCLC_2_thoxothazlidne_4_carbxylic_comt,0.7061987360494824,False,False
URX2MH_2_methylhippuric_acid_ng_ml,0.7061987360494824,False,False
URX34M_3_methipurc_acd_4_methipurc_acd_ng_ml,0.7061987360494824,False,False
URXAAM_n_ace_s_2_carbamoylethyl_l_cys_ng_ml,0.7061987360494824,False,False
URXAMC_n_ace_s_n_methlcarbamoyl_l_cys_ng_ml,0.7061987360494824,False,False
URXATC_2_amnothiazolne_4_carbxylic_acid_ng_ml,0.7061987360494824,False,False
URXBMA_n_acetyl_s_benzyl_l_cysteine_ng_ml,0.7061987360494824,False,False
URXBPM_n_acetyl_s_n_propyl_l_cysteine_ng_ml,0.7061987360494824,False,False
URXCEM_n_acetyl_s_2_carbxyethyl_l_cys_ng_ml,0.7061987360494824,False,False
URXCYHA_cyha_cysteine_ng_ml,0.7061987360494824,False,False
URXCYM_n_acetyl_s_2_cyanoethyl_l_cyst_ng_ml,0.7061987360494824,False,False
URXDHB_n_ace_s_3_4_dihidxybutl_l_cys_ng_ml,0.7061987360494824,False,False
URXGAM_n_ac_s_2_carbmo_2_hydxel_l_cys_ng_ml,0.7061987360494824,False,False
URXHEM_n_ace_s_2_hydroxyethyl_l_cys_ng_ml,0.7061987360494824,False,False
URXHP2_n_ace_s_2_hydroxypropyl_l_cys_ng_ml,0.7061987360494824,False,False
URXHPM_n_ace_s_3_hydroxypropyl_l_cys_ng_ml,0.7061987360494824,False,False
URXIPM3_ipm3_cysteine_ng_ml,0.7061987360494824,False,False
URXMAD_mandelic_acid_ng_ml,0.7061987360494824,False,False
URXMB3_n_a_s_4_hydrxy_2_butenyl_l_cys_ng_ml,0.7061987360494824,False,False
URXPHG_phenylglyoxylic_acid_ng_ml,0.7061987360494824,False,False
URXPMM_n_a_s_3_hydrxprpl_1_metl_l_cys_ng_ml,0.7061987360494824,False,False
URXTTC_2_thioxothiazolidine_4_carboxylic_acid,0.7061987360494824,False,False
pad660___minutes_vigorous_recreational_activities,0.7027027027027027,False,False
kiq050___how_much_did_urine_leakage_bother_you?,0.699744520640043,False,False
kiq052___how_much_were_daily_activities_affected?,0.699744520640043,False,False
whd080a___ate_less_to_lose_weight,0.6994755949979831,False,False
