column,action,count_abs_gt_8,count_abs_gt_12,min,q01,median,q99,max
LBDBSESI_blood_selenium_umol_l,zscore_normalize,1,0,-3.9334933342143663,-2.0548415678936474,-0.0718945834630816,2.7915880345524116,8.551948995485345
LBDMONO_monocyte_number_1000_cells_ul,zscore_normalize,1,0,-2.6116175128014563,-1.6971421013224113,-0.1646849104711464,3.152530773852131,9.216083972909992
LBDSCASI_total_calcium_mmol_l,zscore_normalize,1,0,-6.970155054794372,-2.3737622839431,-0.080294978599994,2.493550092280411,8.020104883156469
LBDSIRSI_iron_refrigerated_serum_umol_l,zscore_normalize,1,0,-2.299591060185987,-1.716574773472139,-0.1296225654731407,2.944414353301217,11.98041416070478
LBXBAPCT_basophils_percent,zscore_normalize,1,0,-2.3349946349068027,-1.6960976291101255,-0.1402357626288091,3.1608549769398513,10.769853730062012
LBXBSE_blood_selenium_ug_l,zscore_normalize,1,0,-3.9291426717636977,-2.050197562423474,-0.0696048156195137,2.782225859479679,8.560571860683835
LBXCOT_cotinine_serum_ng_ml,zscore_normalize,1,0,-0.5946413613234044,-0.5946413613234044,-0.3970378898051516,3.8069446258786845,10.215499686404248
LBXEOA_ethylene_oxide_pmol_g_hb,zscore_normalize,1,0,-0.6969554650402355,-0.654110310413197,-0.3938848426604384,4.108515873986388,10.0055499086628
LBXPFUA_perfluoroundecanoic_acid_ng_ml,zscore_normalize,1,0,-0.5698429827557296,-0.5698429827557296,-0.3989461021193187,5.029588476021997,8.336475006638343
URDTIME1_minutes_b_w_last_urination_urine_1,zscore_normalize,1,0,-1.4324014278418205,-1.1293404410401575,-0.263098835905429,4.15088677395967,8.984904978462607
URXAMC_n_ace_s_n_methlcarbamoyl_l_cys_ng_ml,zscore_normalize,1,0,-0.8094065527670824,-0.7725154214606101,-0.3289394050213742,4.344492944998462,11.56412817317478
URXCEM_n_acetyl_s_2_carbxyethyl_l_cys_ng_ml,zscore_normalize,1,0,-0.9645274505879056,-0.8468222579158841,-0.3266988810651225,4.236949337655319,8.573367299630156
URXCRS_creatinine_urine_umol_l,zscore_normalize,1,0,-1.616605353470291,-1.4702900786528916,-0.1534526052962968,3.110857914081846,8.229322035242179
URXIPM3_ipm3_cysteine_ng_ml,zscore_normalize,1,0,-0.5144363501795189,-0.5059234410425945,-0.3416340231039791,4.726297464612879,10.953990443440984
URXUAS3_urinary_arsenous_acid_ug_l,zscore_normalize,1,0,-0.7109912983278598,-0.7109912983278598,-0.4880015896455935,3.592583053662494,8.683376217690105
URXUCR_creatinine_urine_mg_dl,zscore_normalize,1,0,-1.616605353470291,-1.4702900786528916,-0.1534526052962968,3.110857914081846,8.229322035242182
URXUTL_thallium_urine_ug_l,zscore_normalize,1,0,-1.5557009198010656,-1.308279203648603,-0.2099593235356691,3.5072060356188017,8.167551597157109
WTFOLPRP__p_folfms,zscore_normalize,1,0,-1.0169899789625982,-1.0021305512088294,-0.3231176480397501,4.415644673188091,9.375368085113116
WTFOLPRP_folate_folate_form_weight_pre_pandemic,zscore_normalize,1,0,-1.0169899789625982,-1.0021305512088294,-0.3231176480397501,4.415644673188091,9.375368085113116
WTSAFPRP__p_ins,zscore_normalize,1,0,-1.0183500054569878,-1.0032092128386938,-0.3136598926272327,4.320455805381948,8.523827961997206
WTSAFPRP__p_trigly,zscore_normalize,1,0,-1.0183500054569878,-1.0032092128386938,-0.3136598926272327,4.320455805381948,8.523827961997206
WTSAFPRP_fasting_subsample_weight,zscore_normalize,1,0,-1.0183500054569878,-1.0032092128386938,-0.3136598926272327,4.320455805381948,8.523827961997206
WTSBAPRP_subsample_ba_weights_pre_pandemic,zscore_normalize,1,0,-0.9880087678624936,-0.9880087678624936,-0.3171060737954151,4.229120008700068,8.080381187317112
WTSVOCPR_voc_subsample_weight_pre_pandemic,zscore_normalize,1,0,-0.9726597815881634,-0.9059386507310182,-0.3182126149486393,4.3200232827599585,9.379672106527217
bun_mg_dl,reference_normalize,1,0,-1.4,-0.8666666666666667,0.0666666666666666,2.2,8.466666666666667
did250___past_year_how_many_times_seen_doctor,zscore_normalize,1,0,-1.76343109133699,-1.3522289430568066,-0.1008685511949033,4.32538796864854,9.999953290916748
rhq332___age_when_both_ovaries_removed,zscore_normalize,1,0,-2.5692642450237217,-2.089807330433502,-0.05839614762846625,1.7130414966044085,11.1192970862318
