SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,RIDRETH1,RIDEXPRG,DMDEDUC2,DMDMARTZ,DMDBORN4,INDFMPIR,WTMECPRP,WTINTPRP,SDMVPSU,SDMVSTRA,gender,ethnicity,education,marital_status,pregnancy_status,country_of_birth
117543,2.0,31.0,3.0,3.0,2.0,5.0,1.0,1.0,1.6,30529.598214,29733.189918,1.0,155.0,Female,Non-Hispanic White,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117556,2.0,39.0,3.0,3.0,2.0,3.0,1.0,1.0,1.5,32174.011427,31485.148259,1.0,158.0,Female,Non-Hispanic White,High school / GED,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117571,2.0,41.0,4.0,4.0,2.0,4.0,2.0,1.0,1.82,10813.041553,10257.25147,1.0,158.0,Female,Non-Hispanic Black,Some college / AA,Widowed / Divorced / Separated,Not pregnant,Born in 50 US states or DC
117587,2.0,28.0,4.0,4.0,2.0,5.0,3.0,2.0,,9926.51263,9053.332088,1.0,167.0,Female,Non-Hispanic Black,College graduate or above,Never married,Not pregnant,Born in Mexico
117600,2.0,27.0,4.0,4.0,2.0,5.0,1.0,2.0,5.0,24124.087192,22124.063833,3.0,156.0,Female,Non-Hispanic Black,College graduate or above,Married / Living with partner,Not pregnant,Born in Mexico
117605,2.0,32.0,4.0,4.0,2.0,5.0,1.0,1.0,1.67,7477.412123,7063.68194,1.0,171.0,Female,Non-Hispanic Black,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117606,2.0,33.0,4.0,4.0,2.0,4.0,1.0,1.0,,20516.512697,19548.834991,1.0,163.0,Female,Non-Hispanic Black,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117625,2.0,31.0,3.0,3.0,2.0,4.0,3.0,2.0,1.44,67754.884088,64124.414684,1.0,163.0,Female,Non-Hispanic White,Some college / AA,Never married,Not pregnant,Born in Mexico
117628,2.0,39.0,3.0,3.0,2.0,2.0,2.0,1.0,0.78,12748.568482,11518.422669,1.0,167.0,Female,Non-Hispanic White,9-11th grade,Widowed / Divorced / Separated,Not pregnant,Born in 50 US states or DC
117629,2.0,43.0,1.0,1.0,2.0,1.0,2.0,2.0,0.76,24834.864419,23184.290854,2.0,172.0,Female,Mexican American,Less than 9th grade,Widowed / Divorced / Separated,Not pregnant,Born in Mexico
