original_column,source_file,label,readable_name_suggested,readable_name_final,keep_status,notes
URDTIME3,P_UCFLOW.xpt,Minutes b/w urine # 2 & urine # 3,minutes_b_w_urine_2_urine_3,,review,
WTSAPRP__p_ucm,,,,,review,
URXUCM,P_UCM.xpt,"Chromium, Urine (ug/L)",chromium_urine_ug_l,,review,
URDUCMLC,P_UCM.xpt,"Chromium, Urine Comment Code",chromium_urine_comment_code,,review,
URXPREG,P_UCPREG.xpt,Urine Pregnancy Result,urine_pregnancy_result,,review,
WTSAPRP__p_uhg,,,,,review,
URXUHG,P_UHG.xpt,Urine Mercury (ug/L),urine_mercury_ug_l,,review,
URDUHGLC,P_UHG.xpt,"Mercury, Urine Comment Code",mercury_urine_comment_code,,review,
WTSAPRP__p_uio,,,,,review,
URXUIO,P_UIO.xpt,"Iodine, urine (ug/L)",iodine_urine_ug_l,,review,
URDUIOLC,P_UIO.xpt,"Iodine, urine comment code",iodine_urine_comment_code,,review,
WTSAPRP__p_um,,,,,review,
URXUBA,P_UM.xpt,"Barium, urine (ug/L)",barium_urine_ug_l,,review,
URDUBALC,P_UM.xpt,Urinary Barium Comment Code,urinary_barium_comment_code,,review,
URXUCD,P_UM.xpt,"Cadmium, urine (ug/L)",cadmium_urine_ug_l,,review,
URDUCDLC,P_UM.xpt,Urinary Cadmium Comment Code,urinary_cadmium_comment_code,,review,
URXUCO,P_UM.xpt,"Cobalt, urine (ug/L)",cobalt_urine_ug_l,,review,
URDUCOLC,P_UM.xpt,Urinary Cobalt Comment Code,urinary_cobalt_comment_code,,review,
URXUCS,P_UM.xpt,"Cesium, urine (ug/L)",cesium_urine_ug_l,,review,
URDUCSLC,P_UM.xpt,Urinary Cesium Comment Code,urinary_cesium_comment_code,,review,
URXUMO,P_UM.xpt,"Molybdenum, urine (ug/L)",molybdenum_urine_ug_l,,review,
URDUMOLC,P_UM.xpt,Urinary Molybdenum Comment Code,urinary_molybdenum_comment_code,,review,
URXUMN,P_UM.xpt,"Manganese, urine (ug/L)",manganese_urine_ug_l,,review,
URDUMNLC,P_UM.xpt,Urinary Mn Comment Code,urinary_mn_comment_code,,review,
URXUPB,P_UM.xpt,"Lead, urine (ug/L)",lead_urine_ug_l,,review,
URDUPBLC,P_UM.xpt,Urinary Lead Comment Code,urinary_lead_comment_code,,review,
URXUSB,P_UM.xpt,"Antimony, urine (ug/L)",antimony_urine_ug_l,,review,
URDUSBLC,P_UM.xpt,Urinary Antimony Comment Code,urinary_antimony_comment_code,,review,
URXUSN,P_UM.xpt,"Tin, urine (ug/L)",tin_urine_ug_l,,review,
URDUSNLC,P_UM.xpt,USN Comment Code,usn_comment_code,,review,
URXUTL,P_UM.xpt,"Thallium, urine (ug/L)",thallium_urine_ug_l,,review,
URDUTLLC,P_UM.xpt,Urinary Thallium Comment Code,urinary_thallium_comment_code,,review,
URXUTU,P_UM.xpt,"Tungsten, urine (ug/L)",tungsten_urine_ug_l,,review,
URDUTULC,P_UM.xpt,Urinary Tungsten Comment Code,urinary_tungsten_comment_code,,review,
WTSAPRP__p_uni,,,,,review,
URXUNI,P_UNI.xpt,"Nickel, Urine (ug/L)",nickel_urine_ug_l,,review,
URDUNILC,P_UNI.xpt,"Nickel, Urine Comment Code",nickel_urine_comment_code,,review,
WTSAPRP__p_utas,,,,,review,
URXUAS,P_UTAS.xpt,"Arsenic, Total - Urine (ug/L)",arsenic_total_urine_ug_l,,review,
URDUASLC,P_UTAS.xpt,"Arsenic, Total - Urine Comment Code",arsenic_total_urine_comment_code,,review,
WTSAPRP__p_uvoc,,,,,review,
URX2MH,P_UVOC.xpt,2-methylhippuric acid (ng/mL),2_methylhippuric_acid_ng_ml,,review,
URD2MHLC,P_UVOC.xpt,2-methylhippuric acid comment code,2_methylhippuric_acid_comment_code,,review,
URX34M,P_UVOC.xpt,3-methipurc acd & 4-methipurc acd(ng/mL),3_methipurc_acd_4_methipurc_acd_ng_ml,,review,
URD34MLC,P_UVOC.xpt,3-methipurc acd & 4-methipurc acid comt,3_methipurc_acd_4_methipurc_acid_comt,,review,
URXAAM,P_UVOC.xpt,N-ace-S-(2-carbamoylethyl)-L-cys(ng/mL),n_ace_s_2_carbamoylethyl_l_cys_ng_ml,,review,
URDAAMLC,P_UVOC.xpt,N-ace-S-(2-carbamoylethyl)-L-cys comt,n_ace_s_2_carbamoylethyl_l_cys_comt,,review,
URXAMC,P_UVOC.xpt,N-ace-S-(N-methlcarbamoyl)-L-cys(ng/mL),n_ace_s_n_methlcarbamoyl_l_cys_ng_ml,,review,
URDAMCLC,P_UVOC.xpt,N-ace-S-(N-methlcarbamoyl)-L-cys comt,n_ace_s_n_methlcarbamoyl_l_cys_comt,,review,
URXATC,P_UVOC.xpt,2-amnothiazolne-4-carbxylic acid(ng/mL),2_amnothiazolne_4_carbxylic_acid_ng_ml,,review,
URDATCLC,P_UVOC.xpt,2-amnothiazolne-4-carbxylic acid comt,2_amnothiazolne_4_carbxylic_acid_comt,,review,
URXBMA,P_UVOC.xpt,N-acetyl-S-(benzyl)-L-cysteine(ng/mL),n_acetyl_s_benzyl_l_cysteine_ng_ml,,review,
URDBMALC,P_UVOC.xpt,N-acetyl-S-(benzyl)-L-cysteine comt,n_acetyl_s_benzyl_l_cysteine_comt,,review,
URXBPM,P_UVOC.xpt,N-acetyl-S-(n-propyl)-L-cysteine(ng/mL),n_acetyl_s_n_propyl_l_cysteine_ng_ml,,review,
URDBPMLC,P_UVOC.xpt,N-acetyl-S-(n-propyl)-L-cysteine comt,n_acetyl_s_n_propyl_l_cysteine_comt,,review,
URXCEM,P_UVOC.xpt,N-acetyl-S-(2-carbxyethyl)-L-cys(ng/mL),n_acetyl_s_2_carbxyethyl_l_cys_ng_ml,,review,
URDCEMLC,P_UVOC.xpt,N-acetyl-S-(2-carbxyethyl)-L-cys comt,n_acetyl_s_2_carbxyethyl_l_cys_comt,,review,
URXCYHA,P_UVOC.xpt,CYHA cysteine (ng/mL),cyha_cysteine_ng_ml,,review,
URDCYALC,P_UVOC.xpt,CYHA cysteine comment code,cyha_cysteine_comment_code,,review,
URXCYM,P_UVOC.xpt,N-acetyl-S-(2-cyanoethyl)-L-cyst(ng/mL),n_acetyl_s_2_cyanoethyl_l_cyst_ng_ml,,review,
URDCYMLC,P_UVOC.xpt,N-acetyl-S-(2-cyanoethyl)-L-cyst comt,n_acetyl_s_2_cyanoethyl_l_cyst_comt,,review,
URXDHB,P_UVOC.xpt,"N-ace-S-(3,4-dihidxybutl)-L-cys(ng/mL)",n_ace_s_3_4_dihidxybutl_l_cys_ng_ml,,review,
URDDHBLC,P_UVOC.xpt,"N-ace-S-(3,4-dihidxybutl)-L-cys comt",n_ace_s_3_4_dihidxybutl_l_cys_comt,,review,
URXGAM,P_UVOC.xpt,N-ac-S-(2-carbmo-2-hydxel)-L-cys(ng/mL),n_ac_s_2_carbmo_2_hydxel_l_cys_ng_ml,,review,
URDGAMLC,P_UVOC.xpt,N-ac-S-(2-carbmo-2-hydxel)-L-cys comt,n_ac_s_2_carbmo_2_hydxel_l_cys_comt,,review,
URXHEM,P_UVOC.xpt,N-ace-S-(2-hydroxyethyl)-L-cys(ng/mL),n_ace_s_2_hydroxyethyl_l_cys_ng_ml,,review,
URDHEMLC,P_UVOC.xpt,N-ace-S-(2-hydroxyethyl)-L-cys comt,n_ace_s_2_hydroxyethyl_l_cys_comt,,review,
URXHP2,P_UVOC.xpt,N-ace-S-(2-hydroxypropyl)-L-cys(ng/mL),n_ace_s_2_hydroxypropyl_l_cys_ng_ml,,review,
URDHP2LC,P_UVOC.xpt,N-ace-S-(2-hydroxypropyl)-L-cys comt,n_ace_s_2_hydroxypropyl_l_cys_comt,,review,
URXHPM,P_UVOC.xpt,N-ace-S-(3-hydroxypropyl)-L-cys(ng/mL),n_ace_s_3_hydroxypropyl_l_cys_ng_ml,,review,
URDHPMLC,P_UVOC.xpt,N-ace-S-(3-hydroxypropyl)-L-cys comt,n_ace_s_3_hydroxypropyl_l_cys_comt,,review,
URXIPM3,P_UVOC.xpt,IPM3 cysteine (ng/mL),ipm3_cysteine_ng_ml,,review,
URDPM3LC,P_UVOC.xpt,IPM3 cysteine comment code,ipm3_cysteine_comment_code,,review,
URXMAD,P_UVOC.xpt,Mandelic acid(ng/mL),mandelic_acid_ng_ml,,review,
URDMADLC,P_UVOC.xpt,Mandelic acid comment code,mandelic_acid_comment_code,,review,
URXMB3,P_UVOC.xpt,N-A-S-(4-hydrxy-2-butenyl)-L-cys(ng/mL),n_a_s_4_hydrxy_2_butenyl_l_cys_ng_ml,,review,
URDMB3LC,P_UVOC.xpt,N-A-S-(4-hydrxy-2-butenyl)-L-cys comt,n_a_s_4_hydrxy_2_butenyl_l_cys_comt,,review,
URXPHG,P_UVOC.xpt,Phenylglyoxylic acid(ng/mL),phenylglyoxylic_acid_ng_ml,,review,
URDPHGLC,P_UVOC.xpt,Phenylglyoxylic acid comment code,phenylglyoxylic_acid_comment_code,,review,
URXPMM,P_UVOC.xpt,N-A-S-(3-hydrxprpl-1-metl)-L-cys(ng/mL),n_a_s_3_hydrxprpl_1_metl_l_cys_ng_ml,,review,
URDPMMLC,P_UVOC.xpt,N-A-S-(3-hydrxprpl-1-metl)-L-cys comt,n_a_s_3_hydrxprpl_1_metl_l_cys_comt,,review,
URXTTC,P_UVOC.xpt,2-Thioxothiazolidine-4-carboxylic acid,2_thioxothiazolidine_4_carboxylic_acid,,review,
URDTTCLC,P_UVOC.xpt,2-Thoxothazlidne-4-carbxylic comt,2_thoxothazlidne_4_carbxylic_comt,,review,
WTVOC2PP,P_UVOC2.xpt,UVOC2 Subsample Weights Pre-Pandemic,uvoc2_subsample_weights_pre_pandemic,,review,
URXMUCA,P_UVOC2.xpt,"trans, trans-Muconic acid (ng/mL)",trans_trans_muconic_acid_ng_ml,,review,
URDMUCLC,P_UVOC2.xpt,"trans, trans-Muconic acid comment code",trans_trans_muconic_acid_comment_code,,review,
URXPHMA,P_UVOC2.xpt,Phenylmercapturic acid (ng/mL),phenylmercapturic_acid_ng_ml,,review,
URDPMALC,P_UVOC2.xpt,Phenylmercapturic acid comment code,phenylmercapturic_acid_comment_code,,review,
WTSVOCPR,P_VOCWB.xpt,VOC Subsample Weight Pre-Pandemic,voc_subsample_weight_pre_pandemic,,review,
LBX2DF,P_VOCWB.xpt,"Blood 2,5-Dimethylfuran (ng/mL)",blood_2_5_dimethylfuran_ng_ml,,review,
LBD2DFLC,P_VOCWB.xpt,"Blood 2,5-Dimethylfuran Comment Code",blood_2_5_dimethylfuran_comment_code,,review,
LBX4CE,P_VOCWB.xpt,"Blood 1,1,1,2-Tetrachloroethane (ng/mL)",blood_1_1_1_2_tetrachloroethane_ng_ml,,review,
LBD4CELC,P_VOCWB.xpt,"Blood 1,1,1,2-Tetrachloroethane Cmt Code",blood_1_1_1_2_tetrachloroethane_cmt_code,,review,
LBXV06,P_VOCWB.xpt,Blood Hexane (ng/mL),blood_hexane_ng_ml,,review,
