SEQN,umap_x,umap_y
110977.0,15.64938,11.51308
110979.0,4.2434125,11.355367
110981.0,4.6505213,11.194786
110984.0,14.764969,13.133062
110985.0,15.665998,8.601243
110987.0,18.142319,13.678545
110988.0,14.268884,8.670176
110993.0,17.798695,13.639802
110995.0,17.221998,9.053324
110997.0,15.904234,10.946528
110998.0,16.101664,9.345697
110999.0,9.337199,10.504907
111000.0,17.346123,12.967717
111003.0,16.72898,8.156429
111006.0,14.881753,13.580406
111007.0,4.5122805,10.306845
111010.0,15.143756,7.4369893
111011.0,14.484798,12.93134
111012.0,9.0806,10.725201
111014.0,14.778096,11.427134
111023.0,16.184393,12.927072
111027.0,16.330261,7.521356
111031.0,16.723783,9.693734
111032.0,15.092715,11.32075
111034.0,17.155636,13.75612
111037.0,16.916855,9.703895
111039.0,18.063862,12.034245
111040.0,16.719992,11.898297
111042.0,14.338994,12.404036
111045.0,17.055447,10.406704
111046.0,15.421774,11.964529
111050.0,19.528511,10.676931
111051.0,12.973304,10.720558
111053.0,4.391631,11.8232975
111054.0,4.19377,11.638365
111055.0,4.595711,10.192182
111058.0,14.962026,9.627973
111060.0,13.12142,10.771961
111062.0,14.984568,13.073986
111063.0,18.465336,13.917823
111064.0,18.9189,10.673922
111065.0,15.425858,10.86655
111068.0,19.479177,8.391139
111069.0,19.357592,10.786168
111071.0,14.989734,8.655553
111073.0,14.462732,8.455467
111075.0,16.626745,13.87873
111079.0,17.495249,9.2982025
111083.0,18.922731,8.61834
111085.0,19.018066,7.5316544
111086.0,19.70368,11.521387
111088.0,15.503952,10.5748625
111089.0,17.66107,10.708218
111094.0,13.887252,9.239293
111095.0,15.840002,15.288362
111096.0,19.457321,8.993768
111098.0,17.352192,12.187536
111107.0,15.3444,10.124066
111109.0,17.8544,11.987988
111110.0,15.042215,11.233569
111112.0,18.159359,12.149001
111117.0,15.121958,11.989957
111118.0,19.16077,8.090164
111120.0,16.664812,13.257678
111122.0,16.299446,9.302588
111124.0,19.37452,7.705914
111126.0,16.686493,9.408869
111129.0,16.298752,7.042416
111130.0,13.336813,11.345271
111133.0,17.35959,12.422942
111134.0,4.719097,10.503351
111135.0,17.492985,10.580745
111138.0,14.3088455,10.364428
111139.0,20.03948,10.807904
111145.0,18.126032,11.983619
111148.0,16.323233,14.065819
111149.0,17.16947,12.463778
111152.0,14.052638,10.390047
111153.0,15.321392,10.288054
111154.0,15.823583,9.455088
111155.0,18.730288,9.817936
111159.0,4.3838086,11.705422
111160.0,14.425033,12.118735
111161.0,16.014795,6.8723326
111162.0,18.877468,11.5211115
111163.0,15.466273,8.25662
111164.0,17.402449,13.647323
111165.0,17.883768,11.204386
111166.0,18.995096,7.4591494
111168.0,17.73679,11.2432995
111169.0,14.617003,9.552156
111171.0,13.500015,11.74915
111173.0,20.147533,11.580374
111175.0,17.121202,12.900145
111176.0,17.37105,13.302046
111177.0,18.357018,13.998749
111181.0,15.55966,7.2408895
111183.0,17.643694,13.573371
111189.0,18.513243,9.087579
111190.0,15.955541,13.834519
111191.0,4.4051805,11.121413
111192.0,19.505812,11.106272
111194.0,14.416216,13.029762
111197.0,17.29914,9.239425
111198.0,14.734445,12.026814
111199.0,18.611996,13.115809
111201.0,18.077536,12.344244
111202.0,17.278101,12.679478
111203.0,15.21796,13.418963
111204.0,17.6773,10.518408
111206.0,18.084349,13.740488
111208.0,19.506107,9.314185
111209.0,14.273937,8.9137945
111211.0,19.298166,9.483163
111213.0,17.696774,10.64613
111218.0,18.04613,13.069716
111219.0,19.60306,8.879667
111220.0,18.618874,8.057372
111222.0,17.930882,13.190883
111224.0,14.494929,9.206222
111228.0,18.977617,9.553703
111229.0,16.990328,14.07832
111231.0,17.333366,13.711133
111232.0,4.174546,11.653996
111233.0,15.798125,10.275143
111235.0,17.733788,10.918937
111236.0,13.920742,12.404832
111238.0,17.503002,10.641744
